imdbId,Actors,Directors,Rating,Genre,Release
97372,"['Jim Lovell', 'Kenneth Mattingly', 'Russell Schweickart']",['Al Reinert'],8.2/10,"['Documentary', 'History']","1 November 1989 (USA)

"
74695,"['James Coburn', 'Maximilian Schell', 'James Mason']",['Sam Peckinpah'],7.5/10,"['Drama', 'War']","10 February 1977 (UK)

"
47898,"['Bela Lugosi', 'Tor Johnson', 'Tony McCoy']",['Edward D. Wood Jr.'],4.1/10,"['Horror', 'Sci-Fi']","February 1956 (USA)

"
42276,"['Judy Holliday', 'William Holden', 'Broderick Crawford']",['George Cukor'],7.6/10,"['Comedy', 'Drama', 'Romance']","February 1951 (USA)

"
86969,"['Matthew Modine', 'Nicolas Cage', 'John Harkins']",['Alan Parker'],7.3/10,"['Drama', 'War']","21 December 1984 (USA)

"
92559,"['Rebecca De Mornay', 'Vincent Spano', 'Frank Langella']",['Roger Vadim'],4.3/10,"['Comedy', 'Drama', 'Romance']","4 March 1988 (USA)

"
56875,"['William Kerwin', 'Mal Arnold', 'Connie Mason']",['Herschell Gordon Lewis'],5.1/10,['Horror'],"6 July 1963 (USA)

"
86005,"['Charles Martin Smith', 'Brian Dennehy', 'Zachary Ittimangnaq']",['Carroll Ballard'],7.6/10,"['Adventure', 'Drama']","27 January 1984 (USA)

"
39698,"['Betty Hutton', 'John Lund', 'Billy De Wolfe']",['George Marshall'],7.1/10,"['Biography', 'Comedy']","4 July 1947 (USA)

"
55353,"['Sidney Poitier', 'Claudia McNeil', 'Ruby Dee']",['Daniel Petrie'],8.1/10,['Drama'],"24 August 1961 (Mexico)

"
58694,"['Connie Mason', 'William Kerwin', 'Jeffrey Allen']",['Herschell Gordon Lewis'],5.9/10,['Horror'],"20 March 1964 (USA)

"
183523,"['Tim Robbins', 'Gary Sinise', 'Don Cheadle']",['Brian De Palma'],5.6/10,"['Adventure', 'Sci-Fi', 'Thriller']","10 March 2000 (USA)

"
142688,"['Johnny Depp', 'Frank Langella', 'Lena Olin']",['Roman Polanski'],6.7/10,"['Mystery', 'Thriller']","10 March 2000 (USA)

"
181530,"['Oleg Menshikov', 'Sandrine Bonnaire', 'Catherine Deneuve']",['Régis Wargnier'],7.5/10,"['Drama', 'History', 'Romance']","5 May 2000 (USA)

"
101698,"['Albert Brooks', 'Meryl Streep', 'Rip Torn']",['Albert Brooks'],7.3/10,"['Comedy', 'Drama', 'Fantasy']","5 April 1991 (USA)

"
78902,"['Dennis Christopher', 'Dennis Quaid', 'Daniel Stern']",['Peter Yates'],7.7/10,"['Comedy', 'Drama', 'Romance']","20 July 1979 (USA)

"
91217,"['Gene Hackman', 'Barbara Hershey', 'Dennis Hopper']",['David Anspaugh'],7.6/10,"['Drama', 'Sport']","27 February 1987 (USA)

"
94812,"['Kevin Costner', 'Susan Sarandon', 'Tim Robbins']",['Ron Shelton'],7.1/10,"['Comedy', 'Romance', 'Sport']","15 June 1988 (USA)

"
72890,"['Al Pacino', 'John Cazale', 'Penelope Allen']",['Sidney Lumet'],8/10,"['Biography', 'Crime', 'Drama']","25 December 1975 (USA)

"
69704,"['Richard Dreyfuss', 'Ron Howard', 'Paul Le Mat']",['George Lucas'],7.5/10,"['Comedy', 'Drama']","11 August 1973 (USA)

"
42208,"['Sterling Hayden', 'Louis Calhern', 'Jean Hagen']",['John Huston'],7.9/10,"['Crime', 'Drama', 'Film-Noir']","1 June 1950 (USA)

"
